CIC0,SM1_Dz,GATS1i,NdsCH,NdssC,MLOGP,LC50 
2.526,0.713,1.201,1,0,2.213,3.561
4.086,0.452,1.843,0,0,0.37,3.463
3.407,1.548,1.653,0,0,1.145,6.258
3.501,0.405,1.585,1,1,2.27,5.147
3.314,0.331,1.173,1,0,3.112,3.812
3.461,0.223,1.281,0,0,2.813,4.416
1.634,0.713,1.19,0,0,1.313,2.056
3.979,1.306,1.404,0,1,5.176,4.239
2.019,1.317,0.77,0,0,3.617,5.93
1.855,1.179,1.44,0,0,1.587,2.838
3.08,0.223,1.583,0,1,1.442,2.271
2.126,1.278,0.896,0,0,4.634,5.815
2.96,0.88,1.53,1,1,0.787,5.244
2.448,0.638,0.921,0,0,1.701,3.521
3.921,0.134,1.789,0,0,2.502,3.861
2.56,0.134,1.758,0,0,0.347,2.283
3.316,0.223,1.571,0,1,1.795,2.94
1.822,0.829,0.834,0,0,2.509,3.731
2.507,0.405,1.652,0,2,0.888,2.495
2.802,0.223,1.6,1,0,1.064,3.825
3.896,0.134,1.571,0,0,3.503,4.822
3.155,0.638,2.128,0,0,-0.937,1.102
3.179,0.0,1.063,0,0,2.942,3.811
3.351,0.496,1.466,0,0,1.097,2.392
3.822,0.0,1.125,1,0,4.044,5.51
3.143,0.134,1.641,0,0,1.209,2.487
4.63,0.405,1.458,2,1,5.579,3.139
2.377,0.827,0.938,0,0,2.239,5.083
2.111,0.134,1.253,0,0,0.468,2.914
2.641,0.496,1.077,0,1,1.697,3.537
3.179,0.0,1.063,0,0,2.942,3.947
4.135,0.58,1.263,1,2,2.904,5.538
3.196,1.38,1.234,0,0,1.321,6.018
2.333,0.251,1.946,0,0,-1.053,2.576
2.778,0.83,1.046,0,0,3.562,6.652
2.417,1.028,1.162,0,1,3.19,4.169
4.205,1.512,1.046,0,2,2.11,5.002
3.181,0.604,1.52,0,0,3.126,4.68
2.283,1.07,1.223,0,0,1.112,4.278
2.026,0.223,1.667,1,0,0.202,2.65
3.691,0.711,1.073,0,2,1.746,5.472
2.479,0.887,0.954,0,0,1.748,4.119
3.441,0.0,1.667,0,0,3.516,4.538
2.542,0.429,1.891,0,0,0.562,2.12
3.641,1.192,1.481,0,1,3.16,5.052
2.585,1.586,0.917,0,0,5.207,6.379
2.824,0.223,1.0,1,0,2.102,3.56
3.668,0.134,1.132,0,0,2.502,3.782
3.509,0.854,1.478,0,0,2.248,2.832
2.819,0.732,1.483,0,0,1.717,2.941
2.728,0.223,0.953,0,0,1.859,3.755
3.332,0.134,1.519,0,0,2.51,3.415
2.16,1.16,1.607,0,0,1.94,3.13
2.477,0.405,0.876,0,1,1.7,2.474
2.71,0.93,0.724,0,0,2.526,4.838
2.818,0.88,1.488,0,0,1.182,3.726
2.585,0.0,0.917,0,0,2.255,3.502
